INFO 2023-10-31 08:17:25,369 autoreload Watching for file changes with StatReloader
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\contrib\postgres\__init__.py first seen with mtime 1698461228.2561262
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Python311\Lib\logging\__init__.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Python311\Lib\wsgiref\simple_server.py first seen with mtime 1666607650.0
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Python311\Lib\asyncio\events.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Python311\Lib\sqlite3\dbapi2.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\_distutils_hack\__init__.py first seen with mtime 1698461175.508436
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Python311\Lib\importlib\resources\abc.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\contrib\postgres\forms\array.py first seen with mtime 1698461228.2882779
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1698461229.6660326
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Python311\Lib\subprocess.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1698461229.697294
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Python311\Lib\urllib\__init__.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Python311\Lib\collections\abc.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Python311\Lib\email\mime\nonmultipart.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Python311\Lib\socketserver.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1698461230.0589685
